user	year	chinaWEB	chinaAND	chinaIOS	usWEB	usAND	usIOS	rusWEB	rusAND	rusIOS	totWEB	totAND	totIOS
donald	2012	175	0	0	168	0	0	11	0	0	46965	0	12
donald	2013	86	40	2	109	132	0	14	22	0	49821	54518	139
donald	2014	17	26	0	52	220	0	5	22	0	34806	52488	21
donald	2015	11	28	0	157	493	29	1	3	1	25356	72178	5245
donald	2016	1	11	5	37	159	194	2	12	4	5152	34721	24744
donald	2017	0	2	0	1	17	18	0	18	2	144	5505	1420
ivanka	2012	1	0	0	2	0	1	0	0	0	3526	0	2833
ivanka	2013	1	0	1	4	0	1	0	0	0	5201	0	2438
ivanka	2014	3	0	1	2	0	3	0	0	0	3994	0	1837
ivanka	2015	0	0	0	0	0	1	0	0	0	1848	0	1063
ivanka	2016	0	0	0	4	0	3	0	0	0	1831	0	1231
ivanka	2017	0	0	0	0	0	4	0	0	0	123	0	750
