Var1	Freq
️	30
️️️	4
‍‍‍	1
‬	1
‬‪	2
☕️️	1
☕️	2
️☕️	1
☕️☕️☕️	1
⚓️	1
⛄️️	1
⛳️	5
⛸	1
🏹	1
🏻	2
🏻🏻	2
🖊	1
🦃	1
0	2
1	37
10	126
100	15
1000	15
10000	1
100000	1
10022	1
100k	1
101	1
1012	2
1015am	1
1022	1
106	1
109	1
109c	1
10am	1
10degrees	1
10page	1
10pm	3
10th	3
10wheeler	1
10yearolds	1
11	22
110	2
1100	1
1110	1
11122012	1
1112pm	1
1130	1
114	1
115	1
117	1
11am	5
11est	1
11pm	2
11th	1
12	24
120miles	1
121pm	2
122	1
1220	1
12302	1
12302pm	3
123pm	1
126	2
13	10
131	1
1320	2
135	1
136	1
1385	1
13hr	1
13th	1
13week	1
14	8
142	1
14th	7
15	10
1597	1
15k	1
15minute	1
15th	4
16	5
1617	1
16th	2
17	4
176	1
1774	1
17th	1
18	3
180	1
181	1
18k	1
18th	4
19	3
1911	1
1940s	1
1960	1
1964	1
1966	1
1968	1
1970s	1
1977	1
1980	2
1984	1
1985	1
1986	1
1989	1
1992	1
1996	1
1997	1
19th	3
1a	1
1k	1
1m	2
1st	22
1year	1
2	141
20	45
200	1
2007	2
2009	5
2010	12
2011	7
2012	16
2013	18
2014	13
2015	15
2016	33
2017	4
2018	1
2020	1
2022	1
208	1
20k	1
20s	8
20scoop	1
20th	3
21	3
212	1
2127569912	1
2192013	1
22	2
23d	1
23pm	2
23rd	2
23regardless	1
23stay	1
24	7
247	7
24hrs	1
25	14
250000	1
255	1
2550	1
25th	4
26	1
260	1
27	2
27th	1
27yo	2
28	1
28th	1
28thgorgeous	1
29	1
295	1
29th	1
2day	3
2days	1
2hour	2
2in1	1
2morrow	1
2nd	13
2nite	4
2nitei	1
2nites	3
2nt	1
2pm	4
3	185
30	15
300	1
30mins	1
30mm	1
30s	7
30th	4
31	2
31st	1
32	5
321	1
33	2
330	1
330pm	1
331	1
33rd	2
34	3
344	1
35	1
350	1
3500th	1
35th	1
36	1
37	1
3am	1
3d	2
3day	6
3ingredient	1
3pm	4
3rd	7
3x	1
4	118
40	17
40000	1
400k	1
40s	7
41	1
42	4
420	1
422	1
430	1
45	2
45th	4
46	1
461	1
46th	4
47	2
48th	1
49	2
4hs	1
4min	1
4step	1
4th	6
4thandbleeker	1
4thgo	1
4x4	1
5	414
50	10
500	6
50000	1
500000	1
50555	1
51	1
515	1
518	1
52	1
522	1
5237	1
525	1
526967	1
530	1
53010pm	1
53011pm	1
530am	1
545	2
55	1
555	3
56	1
57	1
57th	4
58th	1
59th	1
5i	1
5minute	1
5pm	1
5star	2
5th	15
6	154
60	3
600	4
610	1
624	2
63	1
630pm	2
650	1
68	3
68pm	4
69	1
6hr	1
6pack	1
6pm	3
6th	3
7	124
7024768000	1
70s	2
725	1
73	1
730	2
730am	2
745	1
7499	1
75	6
7569912	1
79	2
79pm	1
7am	2
7pm	8
7th	1
8	65
80	3
800000	2
80800	1
80f	1
80s	2
810	1
812	1
813	1
820	1
830	1
830am	1
830tune	1
84	1
845	1
85	1
8830	1
89	2
89th	1
8am	4
8layer	1
8pm	6
8th	6
9	57
90	6
900	1
90710	1
90999	1
90s	1
910	2
911	1
911made	1
930	1
930am	1
94yearold	1
95	1
97	1
98c	1
9am	1
9c	1
9pg	1
9pm	14
9th	2
a	2926
a1	3
a10	3
a2	2
a3	5
a4	2
a5	3
a6	2
a7	2
a8	2
a9	2
aaa	3
aaas	1
aaron	1
abbey	2
abbeydrucker	2
abc	2
abdullah	1
aberdeen	3
abiding	1
abigail	1
abigailklem	3
ability	5
able	11
aboard	2
about	337
aboutmoney	4
above	4
abraham	3
absence	1
absolute	4
absolutely	24
absurd	1
abts	1
abu	6
ac	5
academiesan	1
academy	2
accel	1
accelerator	1
accented	1
accents	1
accept	6
accepted	1
accepting	2
access	10
accessible	1
accessories	12
accessorize	1
accessory	8
accidentally	2
accommodations	1
accompanied	1
accomplish	2
accomplished	1
accomplishment	1
accomplishments	5
according	3
accordingly	1
account	3
accounts	2
ace	3
aches	1
achievable	7
achieve	3
achieving	2
achor	1
acquired	1
acquiring	1
acquisition	1
acrobatics	1
across	5
act	3
acting	5
action	17
actions	4
active	1
activities	3
activity	5
actress	3
acts	2
actual	7
actually	25
ad	9
adam	4
adams	5
adapt	2
adaptations	1
adapting	3
add	37
addair	1
added	4
addicted	3
addictive	1
adding	12
addition	4
additions	1
address	5
addressed	1
addresses	2
adds	3
adenoids	1
adi	3
adichie	1
adios	1
adj	1
adkins	1
adler	1
admin	1
administration	1
admire	3
admission	1
admit	2
admitting	1
adolescent	3
adopt	1
adopted	1
adoption	2
adorable	20
adore	4
adrenaline	1
adriana	3
adrienne	1
adu	1
adult	2
adulthood	1
adults	1
advance	2
advancethis	1
advantage	4
adventure	5
adventuredespite	1
adventures	8
advertisementunreal	1
advertisers	1
advertising	1
advice	136
advise	2
advises	8
advisor	4
advisory	1
advocacy	2
advocate	1
advocating	1
aerial	2
aeropuerto	1
aerospace	1
affairs	1
affected	1
affecting	1
afford	3
affordable	2
aficionado	1
afraid	9
africa	5
after	75
aftermath	2
afternoon	37
afternoons	1
afterparty	2
afterwork	1
ag	2
again	32
against	5
agate	3
age	7
ageless	3
agenda	1
agent	1
agents	3
ages	2
agesshould	1
aggressive	1
aging	3
ago	5
agree	50
agreed	9
agreeing	1
ahalife	1
ahead	33
ahem	1
ahhh	5
ahhhbummer	1
ahhhh	1
ahhhi	1
ahhhit	1
ahhhso	1
ahhhthank	3
ahhhthanks	3
ahhhyou	1
ahhthanks	2
ahmad	1
ahthank	1
ai	1
aid	2
aids	1
aig	1
ailes	1
ailey	1
ailments	4
ailsa	1
aim	1
aiming	1
aint	2
air	11
airconditioned	1
aircraft	1
aired	1
airfare	2
airing	2
airline	1
airlines	1
airlplane	1
airplane	11
airplanes	1
airport	43
airportla	1
airs	7
airways	2
aisle	7
aka	5
akoya	3
al	1
alamuddin	1
alan	1
alarm	4
alarmlong	1
alarmweve	1
alaska	2
alaskan	1
alaskawent	1
alasmeet	1
albeit	1
albert	7
alberta	2
album	6
albumfive	1
alert	2
alessandra	2
alex	1
alexa	3
alexander	1
alexi	1
alfred	1
alfresco	1
algebra	1
ali	4
alice	2
alicia	1
align	1
aline	1
alive	1
alivefun	1
alkalay	6
alkalays	5
all	384
allamerican	1
allen	1
allergyface	1
alliance	1
alligator	1
alljust	1
allnew	2
allotted	1
allow	1
allowing	1
allows	4
allstar	2
allstars	1
allyssa	1
almajed	1
almost	25
aloha	1
alone	5
along	12
alongside	3
alot	1
already	35
also	19
alta	1
altering	1
although	2
altuzarra	2
alumni	1
alvin	1
always	48
alwaysthoughtful	8
am	150
amal	1
amand	1
amanda	6
amateur	1
amaze	1
amazes	1
amazing	307
amazingly	2
amazingrt	1
amazingsuper	1
amazingwish	1
amazon	1
amazoncom	1
ambassador	3
ambition	4
ambitious	3
ambrosia	1
ambrosio	1
amen	1
america	12
american	17
americans	5
americas	5
amidst	2
amloving	1
amman	1
among	4
amongst	1
amor	1
amount	4
amp	325
ampamp	1
amplistening	1
amptell	1
amstarting	1
amsterdam	2
amsterdamlets	1
amtrak	1
amusement	1
amusing	1
amy	9
an	459
ana	1
anais	1
ancestors	1
anchor	1
ancient	1
and	1839
anderson	1
andre	1
andrea	4
andreessen	1
andrew	6
andrews	2
andthe	1
andy	1
anecdotes	1
angel	4
angela	1
angeles	4
angels	1
anger	2
angie	1
angle	1
animals	1
animated	2
ankara	3
ankle	3
ann	2
anna	5
anne	3
annemarie	1
annes	1
annie	10
anniversary	24
announce	22
announced	5
announcement	6
announces	1
announcing	4
annoyingly	1
annual	20
annulio	2
another	44
answer	20
answered	16
answering	11
answers	12
anthelios	2
anthem	1
anthony	1
anti	2
antica	1
anticipated	2
anticipating	1
antique	1
antisuit	3
antoine	1
anxiety	2
any	55
anybody	1
anymore	5
anyone	15
anything	15
anytime	1
anyway	4
anywhere	2
aparmtent	9
apart	1
apartment	22
apartments	3
apologies	2
apologize	1
apologizing	1
app	35
apparel	17
apparently	4
appeal	2
appear	1
appearance	17
appearances	2
appeared	1
appearing	1
appears	2
appetizer	2
appetizing	1
appget	1
applauding	2
apple	21
apples	4
applicants	7
application	1
applies	1
apply	1
applybeing	1
applying	3
appointed	4
appointment	1
appreciate	8
appreciation	2
apprentice	83
apprenticenbc	1
apprentices	1
apprenticethe	1
approach	4
approaching	3
appropriate	1
approved	1
approves	1
apps	21
après	1
april	10
apryl	1
apt	4
aptly	1
arabella	143
arabellahow	1
arabellas	33
arabia	3
arabian	3
archery	1
architect	4
architectural	2
archive	1
archives	1
ardent	1
are	426
area	3
areas	1
arein	1
arent	4
argentina	1
arguably	1
argue	3
ariane	9
arianna	1
ariel	1
ariell	1
aristotle	1
arizona	1
ark	3
arm	2
armstrong	1
arnold	2
around	40
arp	1
arrange	1
arranging	1
array	1
arriaval	1
arrival	2
arrive	2
arrived	43
arrives	3
arriving	11
arsenio	1
arsenioofficial	1
art	68
artfilled	1
artichokes	1
article	46
articles	1
articlewhy	1
articulate	5
artisans	1
artist	10
artists	5
arts	1
artsy	1
aryella	1
as	266
asap	15
asapand	1
asbury	1
ashleigh	1
ashton	1
asia	2
asian	1
aside	2
ask	40
asked	14
aski	1
asking	3
asks	4
asleep	3
asparagus	2
aspects	3
aspen	7
aspenwhere	1
aspire	1
aspiring	3
assc	1
assembling	1
asset	2
assist	1
assistant	8
assistantor	1
associate	2
assortment	2
assumed	1
asteria	1
astoria	1
astronaut	1
at	1201
ataglance	4
ate	3
ateam	1
athlete	3
athome	8
atlanta	1
atlantic	2
atlas	1
atmosphere	1
atrium	3
attached	2
attack	3
attained	1
attempted	1
attempting	1
attend	9
attended	4
attending	6
attention	5
attire	3
attirenow	1
attitude	2
attorney	1
attracted	3
attribute	3
auction	3
audible	2
audience	2
audio	1
audiobook	2
audrey	2
aug	2
august	7
auntie	2
authentic	7
auther	1
author	18
authors	2
autograph	1
autographs	1
automatically	2
autumn	5
autustic	1
ava	1
avail	1
available	32
avatar	1
ave	20
aveeno	1
avehope	1
avenue	15
average	3
avg	3
avid	3
aviv	2
avocado	4
avoid	30
avoiding	1
aw	1
await	1
awake	4
award	22
awarded	6
awards	26
awareness	4
away	30
awaythey	1
awe	5
awesome	44
awesomerestore	1
awesomeyou	1
awhthanks	1
awkward	16
aww	1
axe	1
ayn	2
az	2
azerbaijan	1
b	6
b258	1
b4	1
babe	2
babes	1
babies	4
babino	1
baboons	1
baby	104
babys	7
bachelorette	4
bachelors	1
bachelortoo	1
bachelortte	1
back	132
backed	1
background	6
backk	1
backpack	3
backpacking	1
backs	2
backsberg	1
backstage	42
backthose	1
backup	1
backyard	7
bad	8
badly	1
badminton	1
bag	116
bagel	4
baggage	3
bagour	1
bags	17
bagthe	4
bagyou	4
bahamas	5
bahrain	9
bahrainhe	1
bahrainoff	1
bailed	1
bake	4
baked	1
bakery	1
baking	7
baku	5
balance	13
balconyphil	1
ball	23
balland	1
ballena	1
ballet	14
ballmer	1
balloon	2
balloons	2
ballot	1
ballroom	3
balls	2
balm	1
balmain	1
balms	1
balmy	1
baltimore	4
ban	4
banana	3
bananas	1
bandana	2
bands	1
bandwagon	1
banging	1
bangle	4
bangles	2
bangs	2
banish	1
bank	7
bankerturnedbaker	1
bankrupt	1
banks	2
banksy	1
banner	2
bar	14
barbeque	1
barbie	2
bare	1
barnes	8
barnett	1
barrel	2
barry	1
bars	2
bartender	1
baruch	1
base	2
baseball	2
baseballs	1
based	3
bash	1
basicallyit	1
basilica	2
basket	2
basketball	1
basterds	1
bastille	1
bat	1
batch	5
bath	2
bathroom	10
bathrooms	1
baton	5
batteries	1
battle	3
bay	5
bazaar	7
bazaarvoices	1
bbq	8
bbqs	4
bbs	1
bday	6
bdaywhat	1
be	536
bea	1
beach	61
beachcouldnt	1
beachheading	1
beachready	3
beachside	1
beachwatch	1
beachy	1
beacon	2
bead	6
beading	1
bear	9
bearable	1
beard	1
bears	2
beat	34
beaten	3
beating	4
beats	5
beatz	1
beauchamp	1
beauties	2
beautiful	142
beautifully	6
beauty	42
beautyboosting	7
beautyproduct	1
beaver	1
bebe	1
became	3
because	14
beck	1
becky	1
become	21
becomes	1
becoming	2
bed	22
bedbut	1
bedminster	12
bedroom	2
bedtime	4
beef	1
beeliza	1
been	87
beep	2
beer	3
bees	1
befitting	1
before	92
beforeandafter	1
beforehand	1
beg	1
began	4
begin	10
begining	1
beginners	2
beginning	1
begins	2
begun	1
behalf	4
behaved	1
behavior	3
behbehani	2
behind	57
behindthescenes	16
beijing	4
being	95
bejeweled	1
belated	3
belief	1
beliefs	1
believe	26
believed	1
believer	2
belita	1
bell	3
bella	6
bellagio	1
belle	1
bellinis	1
bells	1
belly	3
belongs	3
belongsadvocating	1
below	2
belt	2
ben	4
benchmark	1
bendet	4
beneath	1
benedict	1
benefit	14
benefiting	6
benefits	2
benefitting	1
bennet	1
bergdorf	1
bergdorfs	1
berlin	1
bernard	2
bernie	1
bernstein	1
berries	2
berry	2
bessette	1
best	263
bestbranded	1
bestdressed	2
bestever	1
bestie	1
bestmary	1
bestseller	1
bestselling	4
bestvalue	1
bet	3
beth	1
bethennys	1
bets	1
better	115
betteridge	1
betterthe	1
betterthis	1
betting	1
betty	2
between	30
beverly	2
beware	2
bewildered	1
bewitching	1
beyonce	4
beyond	15
bezos	1
bf	1
bffand	1
bg	1
bias	1
biased	10
bib	1
bid	3
bidder	1
bieber	2
big	76
bigger	4
biggest	7
bigxx	1
bike	7
bikes	1
bikiniready	1
bill	5
billa	1
billboard	1
billie	1
billion	3
billionaire	2
bills	2
bin	1
bing	2
bingbing	1
bingo	5
biography	2
bird	2
birdie	4
birds	2
birth	1
birthday	83
birthdayand	1
birthdays	2
birthstone	1
bissa	1
bit	14
bite	2
bites	3
bitly9aibf8	1
biz	1
bk	16
black	39
blackberry	4
blackrock	2
blacktie	1
blackwhite	1
blaindi	1
blair	2
blake	1
blame	3
blank	4
blanket	4
blasberg	1
blast	11
blazer	2
blazers	1
bldg	4
blending	1
bless	3
blessed	9
blessing	2
blessings	1
blessingsstarting	1
blew	3
blind	2
blindfold	1
blingmy	1
bliss	2
blissedout	6
blitz	1
blizzard	2
blk	1
bln	1
block	10
blockbuster	1
blocks	2
blog	17
blogged	1
blogger	8
blogging	1
blogs	1
blonde	3
blonder	1
bloods	1
bloom	1
bloomberg	7
bloomersso	1
bloomies	2
bloomiesmacysnordstromszappos	1
blooming	1
bloomingdales	1
blooms	1
blouse	1
blouses	10
blow	3
blowdry	1
blowing	1
blown	1
blowout	1
blt	5
blue	26
bluemonster	1
blues	25
blumenthal	3
blumenthals	1
blush	3
blushington	2
board	14
boarded	2
boarders	1
boarding	4
boardoom	1
boardroom	53
boardroomlove	1
boardroommake	1
boardroomnow	1
boards	4
boas	1
boat	9
boating	1
boatsailing	1
bob	1
bobby	1
bobsyum	1
bocelli	3
bodega	1
body	19
bogie	2
boisterous	1
bold	4
boldness	1
bolter	2
bonaparte	1
bond	1
bonding	1
bone	2
bonnieabrams	1
bonus	5
bonuses	3
boo	2
book	145
booked	2
booker	1
booking	1
bookits	1
bookmark	1
books	27
bookstore	1
bookstores	1
bookthe	1
bookw	1
boom	3
boost	33
boosting	1
boosts	1
boot	7
booths	1
bootie	5
booties	9
boots	30
bootstheyre	1
booze	1
boozey	5
boozy	3
border	1
borders	5
bored	1
boredom	1
borgias	1
boring	5
born	6
bornfreelets	1
boro	6
borrowed	1
borrowing	1
bosphorus	4
boss	19
bosses	1
bosslady	1
boston	5
bostona	1
botanical	1
both	37
bothersome	1
bottega	1
bottle	1
bottles	3
bottom	1
bought	18
bound	11
boundaries	8
boundjoin	1
bourbon	2
boutique	28
bow	3
bowl	6
bowling	5
bowls	1
box	10
boxes	2
boxing	1
boy	11
boyfriend	8
boyntons	1
boys	5
bp	1
brace	14
bracelet	32
bracelets	2
brad	3
braid	2
braids	1
brain	4
brainboosting	5
brains	8
brainstorm	1
brainstorming	1
brand	43
brandand	1
brandi	1
branding	2
branditll	1
brandnew	2
brandon	1
brands	10
brave	5
braver	1
braves	2
bravest	1
braving	1
brazil	2
brazils	1
brb	1
breaching	1
bread	3
breadwinner	4
breadwinners	1
break	19
breakdown	1
breakfast	39
breakfasta	1
breakfastmy	1
breakfasts	9
breakfastvery	1
breaking	3
breaks	9
breakthrough	2
breast	1
breathe	1
breather	2
breathtaking	3
breathtakingly	1
breezes	1
breezy	8
brennans	1
bret	7
brett	3
brettgorvy	1
bretts	1
brewed	1
brewery	1
brian	2
briarcliff	4
bridal	5
bride	4
brides	2
bridesmaids	1
bridestobe	1
bridge	7
bridges	18
bridget	1
brie	1
brief	4
briefcase	1
bright	12
brighten	2
brighter	7
brigid	1
brillant	1
brilliant	16
brilliantan	1
bring	30
bringing	6
brings	4
bringtowork	6
brisket	2
britain	1
british	1
bro	2
broadcast	1
broadwalk	1
broadway	4
broadwaybye	1
broccoli	6
broccolis	1
broke	3
broken	1
broker	18
brokers	1
bronze	1
bronzed	1
brooke	5
brooklyn	23
brooklyndwellers	1
brooklynpossibly	1
brooklyns	1
brookman	1
bros	3
brother	22
brotherinlaw	4
brotherinlaws	1
brotherly	1
brothers	10
brought	5
brow	1
brown	6
brownies	1
brows	1
browser	1
brrrrrr	1
brunch	21
brunchcheck	1
brunette	1
bruni	2
bruno	1
brush	9
brussel	2
brutal	2
bryant	1
brynna	2
bs	1
bt	1
bts	19
btw	2
bubba	2
bubble	1
buck	3
bucket	16
buckets	1
budding	1
buddy	3
budget	16
budgeting	1
buff	2
buffett	1
bug	3
build	35
builder	2
building	51
buildings	3
built	7
bulletins	2
bummed	1
bummer	2
bump	3
bun	2
bundle	2
bundled	1
bunker	1
bunnies	1
buoyancy	1
burch	1
burden	1
burger	2
burgers	1
buried	2
burj	1
burke	1
burkeharris	1
burlington	1
burnett	2
burning	18
burrito	2
burry	1
bus	4
busey	2
bush	2
bushes	1
bushnell	2
business	119
businessan	1
businesses	1
businessname	1
businesssavvy	1
businessthe	1
businesswoman	1
businesswomen	1
busload	1
bust	1
busted	4
busters	1
busy	29
busygirl	1
but	151
butchers	1
butim	1
butt	2
butter	1
buttercup	1
butterfly	1
buttery	1
button	3
buttons	1
butts	1
butyouve	1
buy	31
buyers	1
buying	10
buys	2
buzz	3
buzzfeed	1
buzzfeeds	2
by	299
bycouture	1
bye	12
c	4
c1957	1
ca	2
cab	2
cabbage	1
cabbrrrrrr	1
cabin	3
cabinet	5
cabochon	1
cacio	1
caddy	1
cadillac	2
cadillacchamp	1
cadillacs	1
cafe	1
cafeeat	1
caffeinated	1
caffeine	9
caipirinhas	1
cairo	1
caitlin	1
cake	9
calendar	18
calendars	6
caliente	1
california	6
call	35
callbrutal	1
called	7
callentertain	1
callie	1
calling	1
calls	6
calm	7
calming	1
calmly	1
caloriefree	1
calories	2
cam	1
camargo	1
came	17
camel	1
cameo	1
camera	4
camerapretty	1
cameras	1
cami	1
camp	7
campaign	47
campaigns	1
campbell	2
camper	1
camping	2
campout	3
camps	1
campus	2
can	176
canada	7
canadian	2
canal	1
cancel	1
canceled	4
cancer	7
cancerstricken	1
candace	1
candice	2
candidates	2
candle	5
candles	2
candor	1
candy	7
cannibals	1
cannot	20
cant	134
cantlivewithout	1
cantor	1
canvases	1
canyon	2
cap	1
capable	1
cape	2
capistrano	1
capital	4
capped	1
captain	1
captains	1
caption	1
capture	1
captured	3
capturing	1
car	11
