cleanedV	Freq
️	14
️️	2
‎	1
‏	2
⛳️thanks	1
✅eliminate	1
✅florida	1
✅illinois	1
✅lean	1
✅lower	1
✅missouri	1
✅north	1
✅ohio	1
✊	1
✊agreed	1
✨	1
❌asia	2
❌benghazi	2
❌iran	2
❌iraq	2
❌libya	2
❌russian	2
❌syria	2
⬅️	1
⬇	1
⬇️	2
🏻	6
🏻🏻🏻	1
🏼	1
0	7
00	1
000	6
000he	1
03	1
03052014	1
0306	1
04	1
06	1
061615	1
07	3
071067	1
0745	1
08	14
081	1
09	5
0930	1
0bama	1
1	139
10	160
100	134
1000	40
10000	8
100000	13
1000000	9
100000000	1
1000m	1
1000pm	2
1000s	2
1000th	1
1001	1
10022	1
100b	2
100barrel	1
100clueless	1
100g	3
100k	6
100m	5
100of	1
100pm	2
100th	4
100x	1
101	6
1010pm	1
1011	3
1011pm	1
1017	1
101712	1
1018	1
102barrel	1
102nd	1
103	5
1030	10
103011	1
1030930	1
1030930c	3
1030am	2
103115	1
1032015	1
103b12m	1
105	1
105m	1
106	3
10615	2
108	1
10800000	1
109	1
109b	1
10am	9
10b	3
10bad	1
10bb	1
10bn	1
10k	3
10kidding	1
10m	2
10o0	1
10of	1
10pe	2
10pm	19
10pme	11
10t	1
10th	7
10wheeler	1
10x	1
10yothe	1
10yrs	1
11	40
110	7
1100	5
11000	2
11000000	1
1100am	1
110315	1
11082016	1
112	4
1121	1
11212	1
1122	1
1123	1
1124	1
113	3
1130	10
1130am	2
1135	2
1135pme	3
1137	1
113826	1
114	1
1145	1
114yearold	1
115	4
1150	1
116	3
11612	1
1172016	1
118	8
11816	6
1182016	4
118m	1
119	3
119000	1
1192017	1
11a	1
11am	13
11it	1
11m	1
11pm	6
11pme	1
11t	1
11th	9
12	71
120	4
1200	6
12000	4
120000	1
1201	1
1201am	1
120k	1
121	2
12116	1
1215	2
1215000	1
1222	1
1227	1
123	5
1230	3
1230pm	1
12316	1
1235	3
1237	6
1245	1
125	3
1250	2
1250000	1
125mil	1
126	1
128	2
129	1
1295m	1
1299	1
12b	2
12be	1
12k	1
12m	2
12months	1
